canton,produccion,area,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_PAR_TOT,CLRSKY_SFC_SW_DWN,GWETPROF,GWETROOT,GWETTOP,PRECTOTCORR_SUM,RH2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,WS10M,WS2M,fecha
EL GUARCO,0.91,21.114,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01
EL GUARCO,47.2425,564.0828,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01
EL GUARCO,47.2425,564.0828,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01
EL GUARCO,47.2425,564.0828,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01
EL GUARCO,47.2425,564.0828,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01
EL GUARCO,47.2425,564.0828,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01
EL GUARCO,47.2425,564.0828,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01
CARTAGO,47.2425,564.0828,15.63,10.43,22.81,0.91,0.92,0.9,122.3,91.29,19.89,18.14,19.01,24.42,14.9,1.42,0.14,2025-01-01
CARTAGO,47.2425,564.0828,17.11,11.21,24.71,0.84,0.84,0.84,57.69,88.61,19.99,17.7,18.85,26.03,15.61,1.46,0.15,2025-02-01
CARTAGO,9.240000000000002,211.968,0.71,0.71,0.71,0.71,0.71,0.72,78.32,84.79,20.68,17.55,19.11,27.44,15.96,1.33,0.16,2025-03-01
CARTAGO,14.14,346.2282,0.76,0.76,0.76,0.76,0.77,0.79,342.6,87.64,20.78,18.26,19.52,27.01,16.5,1.33,0.14,2025-04-01
CARTAGO,15.574999999999998,379.224,0.86,0.86,0.86,0.86,0.88,0.89,364.74,92.25,21.6,20.04,20.82,26.25,16.62,0.97,0.13,2025-05-01
CARTAGO,7.209999999999999,195.822,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01
CARTAGO,9.099999999999998,226.872,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01
CARTAGO,47.2425,564.0828,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01
CARTAGO,47.2425,564.0828,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01
CARTAGO,47.2425,564.0828,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01
CARTAGO,47.2425,564.0828,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01
CARTAGO,47.2425,564.0828,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01
ALVARADO,7.0,181.33,15.63,10.43,22.81,0.91,0.92,0.9,122.3,91.29,19.89,18.14,19.01,24.42,14.9,1.42,0.14,2025-01-01
ALVARADO,47.2425,564.0828,17.11,11.21,24.71,0.84,0.84,0.84,57.69,88.61,19.99,17.7,18.85,26.03,15.61,1.46,0.15,2025-02-01
ALVARADO,26.739999999999995,596.4084,0.71,0.71,0.71,0.71,0.71,0.72,78.32,84.79,20.68,17.55,19.11,27.44,15.96,1.33,0.16,2025-03-01
ALVARADO,95.92099999999996,2446.5743999999986,0.76,0.76,0.76,0.76,0.77,0.79,342.6,87.64,20.78,18.26,19.52,27.01,16.5,1.33,0.14,2025-04-01
ALVARADO,101.941,3172.63104,0.86,0.86,0.86,0.86,0.88,0.89,364.74,92.25,21.6,20.04,20.82,26.25,16.62,0.97,0.13,2025-05-01
ALVARADO,94.213,3328.86636,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01
ALVARADO,89.502,3530.4595199999985,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01
ALVARADO,5.249999999999999,163.116,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01
ALVARADO,1.75,51.75,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01
ALVARADO,47.2425,564.0828,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01
ALVARADO,47.2425,564.0828,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01
ALVARADO,47.2425,564.0828,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01
